q_id,eng,class,chapter,taxonomy_gold
5f070526c7d92c723b793d0f,"(i) Write down any three difference between Lanthanoid and Actinoid?
(ii) The melting and boiling points of Zy. Cd and Hg are low. Why?
(iii) Draw the structure of manganate
ion.",12,THE d- AND f-BLOCK ELEMENTS,Chemistry >> The d- and f- Block Elements >> Lanthanoids
5f06d6e0c7d92c723b789b97,"If the acceleration due to gravity on the surface of the earth is \( 9.8 ~ m / s^{2}, \) what
will be the acceleration due to gravity
on the surface of a planet whose mass and radius both are two times the
corresponding quantities for the earth
\( ? \)
A. \( 4.9 \mathrm{m} / \mathrm{s}^{2} \)
B. \( 9.8 \mathrm{m} / \mathrm{s}^{2} \)
C \( \cdot 19.8 \mathrm{m} / \mathrm{s}^{2} \)
D. None of the above",11,GRAVITATION,Physics >> Gravitation >> Universal law of gravitation
5efdf650bd1a9b18d836aa7f,"Total number of stereo isomers of
\( \left[\boldsymbol{C o}(\boldsymbol{a} \boldsymbol{c a c})_{2} \boldsymbol{B r} \boldsymbol{C l}\right]^{-} \) are:
\( A \cdot 4 \)
B. 3
\( c \cdot 6 \)
D.",12,COORDINATION COMPOUNDS,Chemistry >> Coordination Compounds >> Isomerism in coordination compounds
5f06c165c7d92c723b784d42,"From the following the wrong statement
is:
A. Half-life of a free neutron is 10.3 minutes
B. The stability of a nucleus is only determined by the number of neutrons present in it.
c. Both fast and slow neutrons are capable of penetrating the nucleus
D. A free neutron decays into a proton, an electron and positron",12,NUCLEI,Physics >> Nuclei >> Radioactivity
5efdce51bd1a9b18d8363e01,"An object becomes charged when the atoms in the object gain or lose.
A. Protons
B. Neutrons
c. Electrons
D. All of these",12,ATOMS,Physics >> Atoms >> Alpha-particle scattering and Rutherford’s nuclear model
5efcfdbdf4ab8e55cf7c25c0,"A lens has power of, -25 D. What is the focal length and nature of the lens?",12,RAY OPTICS AND OPTICAL INSTRUMENTS,Physics >> Ray Optics and Optical Instruments >> Refraction at spherical surfaces and by lenses
5efcf264f4ab8e55cf7c070c,"Match the column I with column II with respect to applications of properties of colloids in different fields and mark the
appropriate choice.
Column I Column I
(A) Coagulation
(i) Colloidal medicines
(B) Adsorption
(ii) Photographic films
(C) Electrophoresis
(iii) Sewage disposal
(D) Emulsions
(iv) Smoke precipitator
B. (A) \( \rightarrow \) (ii), (B) \( \rightarrow \) (iii), \( (c) \rightarrow(i),(D) \rightarrow( \) iv )
c. \( (A) \rightarrow(\text { iii) },(B) \rightarrow(i),(C) \rightarrow(i v),(D) \rightarrow( \text { ii) } \)
D. \( (A) \rightarrow(\text { i) },(B) \rightarrow(\text { iv) },(C) \rightarrow(\text { iii) },(D) \rightarrow( \text { ii) } \)",12,SURFACE CHEMISTRY,Chemistry >> Surface Chemistry >> Colloids
5f06d327c7d92c723b788f38,"Elements having a single electron in their outermost shell is :
A. \( L \)
B.
c. Na
D. all of these",11,STRUCTURE OF ATOM,Chemistry >> Structure of Atom >> Quantum mechanical model of atom
5efec63abd1a9b18d838cf18,"Radio active carbon \( C^{14} \) in a wood
sample, decays with a half life of 5700 years. The fraction of the radio active
carbon \( C^{14}, \) that remains after a decay
period of 17,100 years is :
A. \( 1 / 4 \)
B. 3/4
\( c \cdot 1 / 8 \)
D. \( 7 / 8 \)",12,NUCLEI,Physics >> Nuclei >> Radioactivity
5d5e21b1805bfe1a30268810,"Q. 52 What are glycosidic linkages? In which type of biomolecules are they
present?
+holf
",11,BIOMOLECULES,Chemistry >> Biomolecules >> Carbohydrates
5efe2b76bd1a9b18d8373bed,"Which of the following groups cannot participate in response with other suitable group:
A) \( - \) COOH
B) \( -C O O^{-} \)
C) \( -C O C l \)
D) \( -N H_{3}^{+} \)
E) \( -\boldsymbol{C H}_{2}^{+} \)",11,ORGANIC CHEMISTRY – SOME BASIC PRINCIPLES AND TECHNIQUES,Chemistry >> Organic Chemistry – Some Basic Principles and Techniques >> Fundamental concepts in organic reaction mechanism
5f06f97fc7d92c723b791583,"The figure shows the graphical
variation of the reactance of a capacitor
with frequency of ac source.
An ideal inductor has the same
reactance at \( 100 H z \) frequency as the
capacitor has at the same frequency.
Find the value of inductance of the
inductor.",12,ALTERNATING CURRENT,Physics >> Alternating Current >> AC voltage applied to an inductor
5efde8c5bd1a9b18d836867c,"Which is correct according to the
increasing elliptical nature of sub-
shell?
\( A \cdot 2 s<5 p<3 p<4 d \)
B. \( 4 d<2 s<5 p<3 p \)
\( \mathrm{C} \cdot 4 \mathrm{d}<2 \mathrm{s}<3 \mathrm{p}<5 \mathrm{p} \)
D. \( 3 p<4 d<2 s<5 p \)",11,STRUCTURE OF ATOM,Chemistry >> Structure of Atom >> Quantum mechanical model of atom
5efee6e5bd1a9b18d8393088,"mark the appropriate choice?
olum \( c \) Sr.No. Column I Column I Cold
II
\( (A) \)
\( C H_{4}(g)+ \)
\( 2 O_{2}(g) \rightarrow \)
\( C O_{2}(g)+ \)
(i) \( \Delta_{s o l} H^{0} \) A \( C U_{2}(g)+ \)
\( H_{2} O \)
(B) (ii) \( \Delta_{\text {lattice}} H^{0} \)
\( (C) \)
\( H_{2} O \)
\( H_{2(g)} \rightarrow \)
\( 2 H_{(g)} \)
\( N a C I_{(s)} \rightarrow \)
\( N a_{(g)}^{+}+ \)
\( C I_{(g)}^{-} \)
\( N a C l_{(g)} \rightarrow \)
\( N a_{(a q)}^{+}+ \)
\( C l_{(a q)}^{-} \) (iii) \( \quad \Delta_{C} H^{0} \)
\( (D) \)
\( r_{i j} \)
\( \mathbf{A} \cdot(A) \rightarrow(i v),(B) \rightarrow(i i i),(C) \rightarrow(i),(D) \rightarrow(i i) \)
B. \( (A) \rightarrow(\text { ii) },(B) \rightarrow(i),(C) \rightarrow(i v),(D) \rightarrow( \text { iii) } \)
\( \mathbf{C} \cdot(A) \rightarrow(i),(B) \rightarrow(i i),(C) \rightarrow(i i i),(D) \rightarrow(i v) \)
\( \mathbf{D} \cdot(A) \rightarrow(\text { iii }),(B) \rightarrow(i v),(C) \rightarrow(i i),(D) \rightarrow(i) \)",11,THERMODYNAMICS,Chemistry >> Thermodynamics >> Enthalpies for different types of reactions
5efdef0cbd1a9b18d836975f,"The correct relationship between free energy change in a reaction and the corresponding equilibrium constant Kc
is:
\( \mathbf{A} \cdot \Delta G=R T \ln K c \)
в. \( -\Delta G=R T \ln K c \)
c. \( \Delta G^{0}=R T l n K c \)
D. \( -\Delta G^{0}=R T l n K c \)",12,ELECTROCHEMISTRY,Chemistry >> Electrochemistry >> Nernst equation
5f06d6cac7d92c723b789b45,"The eye can be regarded as a single refracting surface. The radius of this surface is equal to that of cornea (7.8 \( \mathrm{mm} \) ). This surface separates two media of refractive indices 1 and 1.34 . Calculate
the distance from the refracting surface
at which a parallel beam of light will
come to focus.
A . \( 2 \mathrm{cm} \)
B. \( 1 \mathrm{cm} \)
c. \( 3.1 \mathrm{cm} \)
D. 4.0 \( \mathrm{cm} \)",12,RAY OPTICS AND OPTICAL INSTRUMENTS,Physics >> Ray Optics and Optical Instruments >> Refraction at spherical surfaces and by lenses
5efd19cff4ab8e55cf7c7523,"In the structure of \( \boldsymbol{H}_{2} \boldsymbol{C S} \boldsymbol{F}_{4}, \) which of
the following statement(s) is/are
correct?

This question has multiple correct options
A. Two \( C-H \) bonds are in the same plane of axial \( S-F \) bonds
B. Two \( C-H \) bonds are in the same plane of equitoria \( S-F \) bonds.
c. Total six atoms are in the same plane.
D. Equitorial \( S-F \) plane is perpendicular to nodal plane
of \( \pi- \) bond",11,CHEMICAL BONDING AND MOLECULAR STRUCTURE,Chemistry >> Chemical Bonding and Molecular Structure >> Valence shell electron pair repulsion theory
5d5cdd3f805bfe1a302537d1,"Q. 4 Compound Ph-0-0--Ph can be prepared by the reaction of ....
(a) phenol and benzoic acid in the presence of NaOH
(b) phenol and benzoyl chloride in the presence of pyridine
(c) phenol and benzoyl chloride in the presence of ZnCl2
(d) phenol and benzaldehyde in the presence of palladium
",12,"ALDEHYDES, KETONES AND CARBOXYLIC ACIDS","Chemistry >> Aldehydes, Ketones and Carboxylic Acids >> Chemical reactions"
5f06c8bac7d92c723b786841,"Choose the correct statement:
A. The potential difference between the terminals of a cell in closed circuit is called EMF of the cell.
B. Electromotive force and accelerating force have the same dimensions.
C. The internal resistance of an ideal cell is infinity.
D. The difference between the emf of a cell and potential difference across the ends of the cell is called lost
volts.",12,CURRENT ELECTRICITY,"Physics >> Current Electricity >> Cells, emf and internal resistance"
5d70a8e135e7ac0b44a6ac79,"Question 20. A solution of IN (1,0).1
[Ni(CN).1 is colourless. Explain.
is green but a solution of
",12,COORDINATION COMPOUNDS,Chemistry >> Coordination Compounds >> Bonding in coordination compounds
5eff5c73bd1a9b18d83ac9a4,"Sulphur is used for vulcanization of rubber to make it:
A. hard
B. elastic
c. malleable
D. soft",12,POLYMERS,Chemistry >> Polymers >> Polymers of commercial importance
5efd7126bd1a9b18d835476f,"A motor cyclist takes a U-turn in 4 seconds. His angular velocity will be
\( \boldsymbol{r} \boldsymbol{a} \boldsymbol{d} \boldsymbol{s}^{-1} \)
A . 0.7855
B. 0.7955
c. 0.8955
D. 0.9955",11,SYSTEM OF PARTICLES AND ROTATIONAL MOTION,Physics >> System of Particles and Rotational Motion >> Kinematics of rotational motion about a fixed axis
5f043cb5197db3497f5b849d,"Photosynthesis of a carbohydrate in plants is given by chemical equation:
\( 6 C O_{2}+6 H_{2} O \longrightarrow C_{6} H_{12} O_{6}+6 O_{2} \)
If you have net result as:
\( 6 C O_{2}+6 H_{2} O \longrightarrow C_{6} H_{12} O_{6}+6 O_{2} \)
Check whether this reaction is correct
or not.",12,BIOMOLECULES,Chemistry >> Biomolecules >> Carbohydrates
5efe4a37bd1a9b18d8378a78,"Assertion
Addition of \( H C l(a q .) \) to \( H C O O H(a q .) \) decrease the ionization of
HCOOH(aq.).
Reason
Due to common ion effect of \( \boldsymbol{H}^{+} \)
ionization of \( H C O O H \) decrease.
A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
c. Assertion is correct but Reason is incorrect
D. Both Assertion and Reason are incorrect",11,EQUILIBRIUM,Chemistry >> Equilibrium >> Ionization of acids and bases
5eff5b42bd1a9b18d83ac595,"Mark the correct statement(s) w.r.t. a
concave spherical mirror
This question has multiple correct options
A. For real extended object, it can form a diminished virtual image
B. For real extended object, it can form a magnified virtual image
C. For virtual extended object, it can form a diminished real image
D. For virtual extended object, it can form a magnified real image",12,RAY OPTICS AND OPTICAL INSTRUMENTS,Physics >> Ray Optics and Optical Instruments >> Reflection of light by spherical mirrors
5f07083dc7d92c723b794835,"The areas of cross section of two wires
of the same material are in the ratio 1:
2 and their lengths are in the ratio 2: 1
If their ends have the same potential differences then currents through
them will be in the ratio of
A .1: 2
B . 2: 1
c. 1: 4
D. 4: 1",12,CURRENT ELECTRICITY,Physics >> Current Electricity >> Electric currents in conductors
5eff5510bd1a9b18d83ab010,"A sphere ' \( A \) ' is placed at frictionless table. another sphere ' \( B \) ' is suspended
as shown in fig. both the spheres are identical in all respects.equal quantity of heat is supplied to both sphere all kind of heat loses are neglected the
final temperature of \( \boldsymbol{A} \) and \( \boldsymbol{B} \) are \( \boldsymbol{T}_{\boldsymbol{A}} \)
and \( T_{B} \) respectively then :
A \( \cdot T_{A}=T_{B} \)
В . \( T_{A}<T_{B} \)
\( c \cdot T_{A}>T_{B} \)
D. data is insufficient",11,THERMAL PROPERTIES OF MATTER,Physics >> Thermal Properties of Matter >> Specific heat capacity
5f043d64197db3497f5b8731,"Which of the following species the
longest \( \boldsymbol{O}-\boldsymbol{O} \) bond length ?
A. \( O_{2} \)
в. \( O_{2}^{+} \)
\( c \cdot O_{2} \)
D. \( O_{2}^{2} \)",11,CHEMICAL BONDING AND MOLECULAR STRUCTURE,Chemistry >> Chemical Bonding and Molecular Structure >> Bonding in some homonuclear diatomic molecules
5f06ceebc7d92c723b787ee9,"When \( H I \) is added in excess to
the unsymmetrical ether, it yields:
\( \mathbf{A} \cdot P h C H_{2} O H \)
в. \( P h I \)
c. \( H O C H_{2} C H_{2} P h-N O_{2} \)
D. \( I C H_{2} C H_{2} P h N O_{2} \)",12,"ALCOHOLS, PHENOLS AND ETHERS","Chemistry >> Alcohols, Phenols and Ethers >> Ethers"
5efd0f2ff4ab8e55cf7c56f8,"The sum of the numbers 436.32,227.2 and 0.301 in appropriate significant figures is :
A . 663.821
B. 664
c. 663.8
D. 663.812",11,UNITS AND MEASUREMENTS,Physics >> Units and Measurements >> Significant figures
5efdae11bd1a9b18d835e60a,"The dispersion of white light occurs
because the angle of of
different colours is different when
passing through the glass prism.
A . reflection
B. refraction
c. incidence
D. none of these",12,RAY OPTICS AND OPTICAL INSTRUMENTS,Physics >> Ray Optics and Optical Instruments >> Dispersion by a prism
5efe39aebd1a9b18d8375fd7,"In the Wheatstone's network given, \( \boldsymbol{P}= \)
\( \mathbf{1 0 \Omega}, \boldsymbol{Q}=\mathbf{2 0 \Omega}, \boldsymbol{R}=\mathbf{1 5 \Omega}, \boldsymbol{S}=\mathbf{3 0 \Omega}, \) the
current passing through the battery (of
negligible internal resistance) is
A \( .0 .36 A \)
B. Zero
\( c .0 .18 A \)
D. \( 0.72 A \)",12,CURRENT ELECTRICITY,Physics >> Current Electricity >> Wheatstone bridge
5efd0b92f4ab8e55cf7c4c59,"Which of the following substance is not a covalent polymer?
A . Silica
B. Diamond
c. Glucose
D. Silicon carbide",12,POLYMERS,Chemistry >> Polymers >> Classification of polymers
5efdf857bd1a9b18d836b010,"A solution which is \( 10^{-3} M \) each in
\( M n^{2+}, F e^{2+}, Z n^{2+} \) and \( H g^{2+} \) is
treated with \( 10^{-16} M \) sulphide ion. If
\( K_{s p} \) of MnS,FeS,ZnS andHgS are \( 10^{-15}, 10^{-23}, 10^{-20} \) and \( 10^{-54} \)
respectively, which one will precipitate first?
A . Fes
в. Mgs
c. нgs
D. zns",11,EQUILIBRIUM,Chemistry >> Equilibrium >> Solubility equilibria of sparingly soluble salts
5ddf569ea332611c668a95f2,"Illustration 2.103 Sodium chloride or calcium chloride is
used to clear snow from the roads. Why?
",12,SOLUTIONS,Chemistry >> Solutions >> Colligative properties and determination of molar mass
5eff34eebd1a9b18d83a410f,"An atoms contains 15 protons, 15
electrons, and 16 neutrons. Which of the
following combinations of particles is
an isotope of that atom?
\( \begin{array}{llll}\text { Protons } & \text { Electrons } & \text { Neutrons } \\ \text { (A) } & 16 & 16 & 17 \\ \text { (B) } & 15 & 16 & 16 \\ \text { (C) } & 15 & 15 & 15 \\ \text { (D) } & 14 & 15 & 16 \\ \text { (E) } & 14 & 14 & 15\end{array} \)
\( A \)
B.
\( c . \)
\( D \)
\( E \)",12,NUCLEI,Physics >> Nuclei >> Atomic masses and composition of nucleus
5efcf5cef4ab8e55cf7c1098,"A solenoid of length \( 10 \mathrm{cm} \), diameter 1 \( \mathrm{cm}, \) number of turns 500 with relative
permeability of the core
\( 2000, \) is connected to an ac source of
frequency 50 Hz. Then, the reactance is
A . zero
B. \( 55 \Omega \)
c. \( 105 \Omega \)
D. \( 155 \Omega \)",12,ALTERNATING CURRENT,Physics >> Alternating Current >> AC voltage applied to an inductor
5d8da4fc1d463201e4197caa,"16. The acceleration versus time graph of a particle moving in
a straight line is shown in Fig. 4.172. The velocity-time
graph of the particle would be
a (ms-2)
Fig. 4.172
a. A straight line b. A parabola
c. A circle
d. An ellipse
The acceleration time arenh of nanti.
17
",11,MOTION IN A STRAIGHT LINE,Physics >> Motion in a Straight Line >> Acceleration
